Adobe After Effects 6.0 Keyframe Data

	Units Per Second	30
	Source Width	720
	Source Height	1280
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0001
	Frame	X pixels	Y pixels
	179	612.629	450.188
	180	610.219	449.89
	181	605.812	450.397
	182	602.062	450.242
	183	600.356	450.76
	184	596.873	450.979
	185	592.169	452.573
	186	589.59	453.323
	187	584.24	454.309
	188	578.707	455.186
	189	575.964	456.952
	190	570.097	456.606
	191	564.297	458.154
	192	561.378	458.426
	193	554.758	459.253
	194	547.94	459.784
	195	545	460.699
	196	537.885	462.998
	197	532.117	465.587
	198	529.399	465.301
	199	522.93	465.429
	200	518.489	466.102
	201	516.522	465.637
	202	511.224	467.209
	203	505.941	466.828
	204	504.017	464.78
	205	500.232	463.845
	206	497.637	464.362
	207	497.146	462.712
	208	494.327	463.442
	209	490.51	460.713
	210	492.496	458.923
	211	489.162	459.46
	212	484.811	458.628
	213	484.025	456.702
	214	482.754	455.145
	215	479.179	456.032
	216	478.017	456.445
	217	471.312	458.467
	218	466.31	461.536
	219	462.425	462.181
	220	457.251	462.467
	221	450.92	459.091
	222	448.243	457.836
	223	443.101	453.993
	224	438.485	451.255

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0003
	Frame	X pixels	Y pixels
	65	238.981	463.438
	66	237.957	465.364
	67	237.082	466.802
	68	237.291	468.142
	69	234.635	469.959
	70	232.747	472.74
	71	233.71	474.57
	72	230.27	475.707
	73	228.712	478.149
	74	226.217	479.347
	75	226.207	479.246
	76	227.481	480.911
	77	223.808	483.026
	78	227.218	483.694
	79	226.46	485.101
	80	228.38	487.401
	81	228.828	486.766
	82	231.242	489.264
	83	230.658	488.882
	84	229.978	488.406
	85	236.845	485.164
	86	238.298	483.915
	87	245.845	481.901
	88	247.244	480.621
	89	252.041	478.346
	90	253.229	478.588
	91	259.627	478.693
	92	266.592	477.218
	93	267.192	477.484
	94	269.711	476.808
	95	275.742	474.439
	96	279.478	472.083
	97	285.133	469.142
	98	287.317	469.743
	99	291.772	469.719
	100	299.864	469.028
	101	309.626	471.423
	102	317.632	471.736
	103	329.363	476.922
	104	339.262	480.564
	105	343.828	481.885
	106	353.158	483.65
	107	358.309	486.08
	108	364.384	486.584
	109	372.237	486.478
	110	374.338	488.396
	111	371.914	490.209
	112	375.207	490.779
	113	376.039	491.7
	114	377.616	491.963
	115	378.813	494.845
	116	382.617	496.05
	117	380.461	498.005
	118	387.257	498.869
	119	389.351	499.609
	120	395.553	499.246
	121	399.018	498.871
	122	414.879	497.768
	123	419.772	497.383
	124	428.061	497.657
	125	434.492	495.492
	126	434.983	496.264
	127	441.191	494.122
	128	446.674	490.978
	129	448.404	490.08
	130	448.672	490.047
	131	455.51	488.25
	132	445.489	490.786
	133	445.786	490.805
	134	442.862	492.151
	135	443.655	491.628
	136	443.273	492.341
	137	443.356	492.639
	138	444.202	492.705
	139	439.39	492.874
	140	436.15	493.038
	141	435.699	492.563
	142	433.386	491.887
	143	431.785	491.473
	144	430.965	491.591
	145	428.283	492.787
	146	427.237	492.866
	147	427.22	493.128
	148	427.505	493.403
	149	425.551	494.164
	150	421.469	494.009
	151	421.812	494.027
	152	421.416	494.407
	153	419.557	494.751
	154	416.395	495.153
	155	413.623	497.023
	156	412.816	497.063
	157	411.427	497.138
	158	409.999	497.912
	159	407.455	498.76
	160	404.663	500.157
	161	405.891	500.299
	162	406.993	500.783
	163	408.474	501.4
	164	410.18	502.055
	165	407.346	503.701
	166	408.151	503.416
	167	404.404	504.157
